epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
165,2288.45,1.97629,1.81114,1.66175,0.4806,0.39691,0.39861,0.17184,2.00965,1.79743,1.73753,0.0067528,0.0067528,0.0067528
166,2302.72,1.99048,1.81006,1.6531,0.49026,0.41575,0.4156,0.18207,1.99878,1.76294,1.72152,0.006733,0.006733,0.006733
167,2316.2,1.97146,1.80431,1.6582,0.4928,0.42657,0.42817,0.19224,1.95287,1.7366,1.7123,0.0067132,0.0067132,0.0067132
168,2330.16,2.00224,1.81226,1.66918,0.49924,0.41842,0.42472,0.19008,1.96871,1.72557,1.73384,0.0066934,0.0066934,0.0066934
169,2344.01,1.96728,1.78898,1.657,0.53728,0.4145,0.44397,0.19989,1.94821,1.72595,1.73026,0.0066736,0.0066736,0.0066736
170,2357.64,1.98073,1.79707,1.65609,0.51058,0.40618,0.42882,0.18794,1.97611,1.76483,1.73019,0.0066538,0.0066538,0.0066538
171,2371.61,1.98093,1.80023,1.65391,0.53683,0.42576,0.45182,0.20542,1.9386,1.70852,1.70158,0.006634,0.006634,0.006634
172,2385.83,1.96927,1.78866,1.64319,0.52375,0.40778,0.43786,0.19796,1.97,1.70087,1.72795,0.0066142,0.0066142,0.0066142
173,2400.05,1.99785,1.80944,1.65644,0.50307,0.42896,0.43844,0.20373,1.92445,1.71294,1.7026,0.0065944,0.0065944,0.0065944
174,2414,1.9905,1.79326,1.63747,0.573,0.40021,0.44108,0.19481,1.9748,1.72066,1.72654,0.0065746,0.0065746,0.0065746
175,2427.69,1.9584,1.75853,1.62836,0.53324,0.4232,0.45733,0.21007,1.93959,1.68406,1.70171,0.0065548,0.0065548,0.0065548
176,2441.3,1.96315,1.78496,1.63999,0.51032,0.43925,0.44587,0.2048,1.93207,1.70476,1.7072,0.006535,0.006535,0.006535
177,2455.04,1.9536,1.76507,1.63069,0.52978,0.42573,0.4364,0.19905,1.96776,1.68767,1.70432,0.0065152,0.0065152,0.0065152
178,2468.61,1.94462,1.74852,1.61524,0.51559,0.44132,0.45476,0.20967,1.9565,1.68918,1.70494,0.0064954,0.0064954,0.0064954
